date,elec,gas
2016-01-01,32.95837132352941,NA
2016-01-02,34.88010171568627,NA
2016-01-03,30.351933397271953,NA
2016-01-04,41.29725383631713,NA
2016-01-05,44.634172953964196,NA
2016-01-06,42.16958663682865,NA
2016-01-07,49.654708667557934,NA
2016-01-08,46.86790334612106,NA
2016-01-09,43.74238512361466,NA
2016-01-10,34.39679827365729,NA
2016-01-11,46.74038073752228,NA
2016-01-12,44.70809976604278,NA
2016-01-13,46.155001671122996,NA
2016-01-14,47.837983622994656,NA
2016-01-15,50.45161374777184,NA
2016-01-16,38.33009859625668,NA
2016-01-17,31.87535082442068,NA
2016-01-18,50.507966800356506,NA
2016-01-19,58.6083454768271,NA
2016-01-20,61.32939115418895,NA
2016-01-21,72.99945320855615,NA
2016-01-22,50.984061385918004,NA
2016-01-23,42.206995098039215,NA
2016-01-24,38.079384697357206,NA
2016-01-25,46.16003351449275,NA
2016-01-26,42.23813640238704,NA
2016-01-27,40.51173986185383,NA
2016-01-28,41.71394217914438,NA
2016-01-29,41.03029211229946,NA
2016-01-30,33.51677952317291,NA
2016-01-31,28.393178698752227,NA
2016-02-01,38.20004656862745,NA
2016-02-02,37.00063458110517,NA
2016-02-03,35.87488803475936,NA
2016-02-04,34.79264483065953,NA
2016-02-05,37.634094919786094,NA
2016-02-06,29.829143648763853,NA
2016-02-07,22.533032642602496,NA
2016-02-08,30.21326827094474,NA
2016-02-09,31.303830436720144,NA
2016-02-10,29.930382631461676,NA
2016-02-11,33.781697526737965,NA
2016-02-12,36.05687793052003,NA
2016-02-13,27.428311051693402,NA
2016-02-14,22.283456788150044,NA
2016-02-15,31.568792223707664,NA
2016-02-16,36.606294953208554,NA
2016-02-17,33.7014064728164,NA
2016-02-18,34.179598763368986,NA
2016-02-19,33.95206651069519,NA
2016-02-20,25.371910539215687,NA
2016-02-21,18.559520053475936,NA
2016-02-22,28.266460784313725,NA
2016-02-23,30.677054367201425,NA
2016-02-24,31.596960450089128,NA
2016-02-25,34.0588117201426,NA
2016-02-26,33.24508149509804,NA
2016-02-27,27.100971479500892,NA
2016-02-28,22.609086731283423,NA
2016-02-29,30.431513090463458,NA
2016-03-01,31.404225378787878,NA
2016-03-02,31.74653665329768,NA
2016-03-03,33.33517563502674,NA
2016-03-04,31.761876782531196,NA
2016-03-05,27.333992312834226,NA
2016-03-06,24.288529968805705,NA
2016-03-07,33.382237410873444,NA
2016-03-08,34.65783990641712,NA
2016-03-09,32.56551465017825,NA
2016-03-10,33.416979556595365,NA
2016-03-11,34.32623117201426,NA
2016-03-12,31.09776593137255,NA
2016-03-13,26.54355887923351,NA
2016-03-14,32.39161642156863,NA
2016-03-15,37.06482475490196,NA
2016-03-16,35.991423351158645,NA
2016-03-17,36.07601453877005,NA
2016-03-18,34.511363023618536,NA
2016-03-19,30.93213503734827,NA
2016-03-20,28.104269957983192,NA
2016-03-21,35.62454935383244,NA
2016-03-22,36.59883411319073,NA
2016-03-23,34.74722209224599,NA
2016-03-24,33.28967463235294,NA
2016-03-25,30.827335672905523,NA
2016-03-26,27.494044117647057,NA
2016-03-27,18.37019618983957,NA
2016-03-28,19.02003431372549,NA
2016-03-29,32.7954389483066,NA
2016-03-30,34.48814939839572,NA
2016-03-31,32.834170677361854,NA
2016-04-01,33.433039494206774,NA
2016-04-02,28.96890987076649,NA
2016-04-03,24.95503442513369,NA
2016-04-04,33.77704155525847,NA
2016-04-05,33.426595978163995,NA
2016-04-06,31.046633244206774,NA
2016-04-07,29.99848718805704,NA
2016-04-08,32.40872147950089,NA
2016-04-09,29.03007798573975,NA
2016-04-10,25.54295889037433,NA
2016-04-11,31.307802250445633,NA
2016-04-12,33.28620521390374,NA
2016-04-13,34.11893126114082,NA
2016-04-14,32.79884024064171,NA
2016-04-15,31.73462188057041,NA
2016-04-16,25.842548462566846,NA
2016-04-17,26.145354389483064,NA
2016-04-18,34.367023284313724,NA
2016-04-19,29.7073440285205,NA
2016-04-20,29.115616421568628,NA
2016-04-21,33.16422782976827,NA
2016-04-22,32.38889338235294,NA
2016-04-23,29.80165251782531,NA
2016-04-24,24.246466131907308,NA
2016-04-25,36.029483511586456,NA
2016-04-26,37.60922782976827,NA
2016-04-27,36.943695409982176,NA
2016-04-28,39.754529077540106,NA
2016-04-29,36.70473195187166,NA
2016-04-30,31.219479835115866,NA
2016-05-01,23.675501782531196,NA
2016-05-02,31.11236196524064,NA
2016-05-03,31.52203509358289,NA
2016-05-04,34.352582442067735,NA
2016-05-05,32.10914694741533,NA
2016-05-06,34.613582999108736,NA
2016-05-07,26.339720365418895,NA
2016-05-08,16.35854389483066,NA
2016-05-09,32.8023451426025,NA
2016-05-10,36.758754512032084,NA
2016-05-11,35.40228754456328,NA
2016-05-12,34.101041443850264,NA
2016-05-13,32.68457943404635,NA
2016-05-14,21.24322771836007,NA
2016-05-15,17.95267491087344,NA
2016-05-16,32.98113435828877,NA
2016-05-17,42.299697972370765,NA
2016-05-18,45.50212171345811,NA
2016-05-19,46.91428520499109,NA
2016-05-20,44.38495343137255,NA
2016-05-21,36.0725003342246,NA
2016-05-22,29.252176916221035,NA
2016-05-23,43.58515953654189,NA
2016-05-24,43.33291276737968,NA
2016-05-25,45.57781617647059,NA
2016-05-26,44.45992780748663,NA
2016-05-27,46.30660405525847,NA
2016-05-28,38.0091857174688,NA
2016-05-29,30.921975824420677,NA
2016-05-30,44.77845721925134,NA
2016-05-31,46.39127595811052,NA
2016-06-01,48.62598763368984,NA
2016-06-02,46.188510026737966,NA
2016-06-03,46.89485929144385,NA
